author_id,last_name,first_name,middle_name,gender,total_pubs,total_cites,avg_cites,med_coauthors,n_unique_coauthors,hindex,rank_total_pubs,rank_total_cites,rank_avg_cites,rank_hindex
ChatzinotasS,Chatzinotas,Symeon,,M,17,960,56.471,3.0,34,14,361,452,4785,127
SunH,Sun,Hongguang,,,31,772,24.903,3.0,87,14,112,607,11341,127
ZecchinaR,Zecchina,Riccardo,,M,22,999,45.409,3.0,41,14,227,425,6079,127
YangH,Yang,Huahai,,,37,678,18.324,3.0,87,14,76,711,14510,127
DhillonH,Dhillon,Harpreet,S,F,17,3001,176.529,2.0,28,14,361,84,1073,127
CaireG,Caire,Giuseppe,,M,14,1270,90.714,3.0,31,14,513,305,2715,127
LiuD,Liu,Dongxi,,,30,1383,46.1,4.0,77,14,121,259,5933,127
MonperrusM,Monperrus,Martin,,M,34,993,29.206,3.0,63,14,91,432,9614,127
HayashiM,Hayashi,Masahito,,M,20,447,22.35,1.0,17,14,268,1222,12310,127
SimeoneO,Simeone,Osvaldo,,,28,1442,51.5,3.0,53,14,140,243,5303,127
ParkJ,Park,Jaeok,,,52,572,11.0,2.5,104,14,41,869,20790,127
ZhangD,Zhang,Di,,,30,1254,41.8,3.0,68,14,121,308,6621,127
WangK,Wang,Keze,,,33,1034,31.333,3.0,88,14,96,412,8973,127
ZhouS,Zhou,Song,Nam,,32,1452,45.375,3.0,71,14,103,239,6080,127
KimD,Kim,Dongkwan,,,41,647,15.78,3.0,125,14,60,756,16448,127
HuangH,Huang,Haofeng,,M,37,987,26.676,3.0,90,14,76,435,10541,127
ZhengG,Zheng,Guoyan,,,18,1385,76.944,3.5,78,14,325,258,3342,127
ChenW,Chen,Wei,,,42,638,15.19,3.5,140,14,56,769,16649,127
WagnerS,Wagner,S,,,35,653,18.657,3.0,97,14,84,751,14393,127
ZdeborovaL,Zdeborova,Lenka,,F,40,1162,29.05,3.0,68,14,64,336,9626,127
YoungN,Young,Neal,E,,24,880,36.667,2.0,27,14,187,497,7560,127
